task_id,graph_id,seed,alpha1_run_id,matched_o0_run_id,same_task,same_depth,same_seed,same_initialization,initial_theta_max_abs_difference,same_optimizer_name,same_nfev_budget,same_cobyla_rhobeg,same_cobyla_catol,same_optimizer_implementation,alpha1_scipy_version,matched_o0_scipy_version,same_scipy_version,alpha1_actual_nfev,matched_o0_actual_nfev,same_actual_nfev,objective_trajectory_available,initial_objective_alpha1_minus_o0,terminal_theta_max_abs_difference,terminal_objective_alpha1_minus_o0,P_feas_alpha1_minus_o0,G_feas_alpha1_minus_o0,P_opt_alpha1_minus_o0,alpha1_terminal_cvar_minus_mean,audit_classification
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,2207,a2-177d9c2857c55df94bd5,diag-run-8a570a0dd9238c5a6671,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,2.220446049250313e-15,0.7862807848247015,-0.08941002480973426,0.0027523585637286,0.3574300875008576,0.0027523585637286,3.5305092183079984e-14,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,3301,a2-841cc439542b200109a0,diag-run-32958f4b3c378e1db7f8,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-2.5757174171303632e-14,0.08859597455575635,0.013483746513819339,-0.0004782435417460995,-0.05421473174392455,-0.0004782435417460995,1.0658141036401504e-14,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-606c43f06406,g-3ff7063ef9ea5cfb,1103,a2-6ccd9d0a926400e596c7,diag-run-5cc0ac9c0e332792eb3d,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,8.43769498715119e-15,0.16330437060359881,0.02014456535176734,-0.00044327507836409985,-0.034199892460009096,1.0124575521000025e-05,2.5313084961453572e-14,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-606c43f06406,g-3ff7063ef9ea5cfb,2207,a2-a999338d56c6f5cc7809,diag-run-00d70c7952fbd01f1c52,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,4.3298697960381105e-14,0.5435557038694284,-0.043307652538580266,0.0061026257624728995,0.20821966855850738,0.0017397692070108,1.376676550535194e-14,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-606c43f06406,g-3ff7063ef9ea5cfb,3301,a2-b63069319dbd8f2d3ed8,diag-run-50d11de198316bd5813e,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-4.8627768478581856e-14,0.15891310985255913,-0.0250968033106993,0.0008900338807708002,0.037284662187936135,0.0002880679045493997,4.329869796038111e-14,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,1103,a2-5a94c63d99869b8699fe,diag-run-4a5d6acc72eb84268e47,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,5.773159728050814e-15,0.036349944418852864,0.0018546825127241373,-0.00012168747569880033,-0.012744107803833948,-3.7032343506300004e-05,-3.752553823233029e-14,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,2207,a2-41fbe406b9ad8624f6f9,diag-run-bec43d5e97cebb8af1a5,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-2.1760371282653068e-14,0.5535765413417975,-0.06052182056977262,0.007719071535380501,0.15709859329963338,0.002581703563723701,1.021405182655144e-14,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,3301,a2-6cfd551845ee7caf146a,diag-run-e3eed797a72e6cc026b6,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,1.7763568394002505e-14,0.9835283782597282,-0.0812202892902203,0.004997207257482398,0.14959538384460025,0.002046102963251,3.552713678800501e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,1103,a2-3a4cdb9c8cbc020a8b00,diag-run-cb09f5876264267bc866,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-2.0650148258027912e-14,0.014895071820912875,-0.0003074698286289479,-2.5745734224300043e-05,-0.002558542928160712,-7.548200064299996e-06,6.217248937900877e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,2207,a2-b017c82b3ce0d038019e,diag-run-48cb288a23de927bf067,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-1.5765166949677223e-14,8.266606936757626e-07,4.2963582691513125e-08,-4.343261150036026e-08,-5.136493439472645e-07,-1.0965674800481051e-08,3.3528735343679734e-14,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-b5e00db3fe1a,g-3ff7063ef9ea5cfb,3301,a2-bd2e0c6490d1254435e4,diag-run-4e2d22c5111c4d73a5c2,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-3.1308289294429414e-14,1.4484452714666474e-07,-3.3822296074959013e-09,-3.4970610001544555e-10,-3.508708679156314e-08,-5.599239995268679e-11,3.7969627442180354e-14,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,1103,a2-0b8cedfa039a2bcac2f7,diag-run-d708f3ed32640ac2abfb,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,1.3322676295501878e-15,0.0020819506997936665,-5.63141103526732e-07,-9.095514473900224e-05,-0.0002915502594176278,-9.061086755697556e-06,-2.220446049250313e-16,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,2207,a2-d500cd03d14900cd74c9,diag-run-a72646e397e9bd902842,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-8.881784197001252e-16,0.011795682475878613,-0.00010032528053560696,0.0003502647087326727,0.000511761376333908,0.0001682096734310079,4.440892098500626e-16,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-ce7fc44fc7b5,g-548c8c6335dd2a2e,3301,a2-cd242d6e9b67a8dda06b,diag-run-bf0a0dd7e8b9d72b3a7d,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,1.3322676295501878e-15,0.37156731113414965,-0.03332220246898765,0.04173491822424821,0.0753066280608895,0.016826357369039605,6.661338147750939e-16,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,1103,a2-f5a45ff25db07ed75797,diag-run-d1d7d24c71266a194961,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-1.7763568394002505e-15,0.017321312919596595,-7.244262024030945e-06,0.0002916328454184991,0.0012522466190965087,0.00011291226876319893,8.881784197001252e-16,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,2207,a2-bde781b74f632e618074,diag-run-3f386b00c80b08252b03,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-2.220446049250313e-15,0.06438168136005906,-0.003093207766093675,0.0014795761234842886,0.003256689054124129,0.0011134205447732026,2.4424906541753444e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-d7382a83ef13,g-548c8c6335dd2a2e,3301,a2-f51e6ddcc1649a994c28,diag-run-7a3f89189f1eff1e07f4,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-6.661338147750939e-16,0.2888431404905837,-0.03111454727274121,0.013417802630360104,0.034074409913411596,0.006701171709199191,-8.881784197001252e-16,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-e442db508705,g-548c8c6335dd2a2e,1103,a2-1b152bd88061b5bbe50e,diag-run-70fba1795cc9f4122c4a,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-2.220446049250313e-16,0.5558232663350009,-0.004733766855164134,-0.0007066138947837003,-0.01018651064062115,-0.0007066138947837003,1.3322676295501878e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-e442db508705,g-548c8c6335dd2a2e,2207,a2-c412d5b021a2b4cbd721,diag-run-8689bb93647d4ab410cf,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,2.220446049250313e-16,1.2396271058626382,-0.13397791223026645,0.033382699024611204,0.13441079680698476,0.033382699024611204,6.661338147750939e-16,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-e442db508705,g-548c8c6335dd2a2e,3301,a2-94c6e71934176ea8b169,diag-run-409d9ce94fd179d008dd,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-2.220446049250313e-16,0.3684251033573285,0.01006663795795748,-0.0007771956515655876,-0.003406116470642928,-0.0007771956515655876,-1.5543122344752194e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,1103,a2-2238bd57d5c326595aaf,diag-run-a1101b3de2cee30ccf54,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,60,False,False,-4.440892098500626e-16,0.5710813366349611,-0.011439016658546297,-0.0013777542557666944,-0.011136553707855712,-0.0013777542557666944,0.0,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,2207,a2-3e45539490c39a90ae9b,diag-run-047317764f00700e3c8b,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,2.220446049250313e-16,0.022314724881437042,0.0006161925181165095,-0.0002051373120529991,-0.005489654535813515,-0.0002051373120529991,6.661338147750939e-16,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-4e78b3f98433,g-553bb3c5ba0f2136,3301,a2-cd78b82f6144ec945a0b,diag-run-6a91092c5c2a3bf0ee6e,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-4.440892098500626e-16,1.3997802916776436e-11,3.731015496555301e-12,-7.16315895488151e-13,-2.2462032234216167e-12,-7.16315895488151e-13,-2.220446049250313e-16,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-73f419868dc6,g-553bb3c5ba0f2136,1103,a2-5f0dfbead7fe60bdd94f,diag-run-eed8981d8c69cc401ce5,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-4.440892098500626e-16,0.6149543616001049,-0.0594359966263851,0.0333533031247607,0.050695041561342524,0.006391398953647404,-4.440892098500626e-16,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-73f419868dc6,g-553bb3c5ba0f2136,2207,a2-b660991351c0992d41b3,diag-run-9c8f9a8d34b0b630d916,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,1.3322676295501878e-15,0.5887743458321824,-0.0047745519097581735,-0.0018756949700893012,-0.04846836602879351,-0.0009817086860419,1.1102230246251563e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-73f419868dc6,g-553bb3c5ba0f2136,3301,a2-ad34754d71d140ef168a,diag-run-1c4815b4d7261472acde,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-1.9984014443252818e-15,0.46218702500502196,0.00568742261778743,0.003017577067847001,0.08201165983991993,0.0007652530853546006,1.1102230246251563e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-f83834022ee2,g-553bb3c5ba0f2136,1103,a2-0cdeb72e3fe418a078cb,diag-run-ee124198b9bcf6240e44,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,71,False,False,2.220446049250313e-15,0.509984878610847,-0.00026586324600086364,-0.0004582785718788007,-0.0017109540468605022,-0.00033591831345380213,-8.881784197001252e-16,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-f83834022ee2,g-553bb3c5ba0f2136,2207,a2-ba1a41375b4d96dd4576,diag-run-3259ded59e93db7cc1bb,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,1.1102230246251565e-15,0.14241128712902107,0.01094211151411284,-0.005939073235380704,-0.0173732040780592,-0.0037044852732961014,2.220446049250313e-16,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-f83834022ee2,g-553bb3c5ba0f2136,3301,a2-f07e248622fea0906726,diag-run-e36645468ddc3f3a586e,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,2.220446049250313e-16,0.13707784599643258,-0.018583774641714346,0.012887709603093211,0.03491651300799126,0.0058937364926622965,1.3322676295501878e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-3f363bac5736,g-60667963f6db3f1b,1103,a2-e019d847605083ac3990,diag-run-75449ac1c5a18de3fb46,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,1.3322676295501878e-15,0.5794978450451171,-0.006272535781010502,-0.0003358515937043,-0.0243836747702314,-0.0003358515937043,-4.440892098500626e-16,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-3f363bac5736,g-60667963f6db3f1b,2207,a2-327a0e570250363c137c,diag-run-942bee48ff7c822f8077,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-1.7763568394002505e-15,0.045937862829069184,7.566511221401839e-05,0.00046374467290110147,0.007852139196246055,0.00046374467290110147,-8.881784197001252e-16,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-3f363bac5736,g-60667963f6db3f1b,3301,a2-cd1717bbdc88083d804f,diag-run-610a32e5a73bb37e641e,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-3.774758283725532e-15,0.5034469650107196,-0.008655944218158629,-0.0003086879141821,-0.02152513662821931,-0.0003086879141821,-2.220446049250313e-16,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-6996479d6302,g-60667963f6db3f1b,1103,a2-f6c4d53a372653077a62,diag-run-3702d0e3f89bb9bece7a,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,4.884981308350689e-15,0.5691005623978763,-0.06567818573253703,0.020663896432235197,0.2822008892798633,0.0075277148977769,-1.5543122344752194e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-6996479d6302,g-60667963f6db3f1b,2207,a2-249f28dc62dd1240939c,diag-run-d712112a4bf1f21b508a,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-4.6629367034256575e-15,6.485230130692798e-09,1.8435342141742694e-10,4.009015064365684e-10,1.0419118900983904e-09,-6.237380056894892e-11,4.440892098500626e-16,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-6996479d6302,g-60667963f6db3f1b,3301,a2-ab000f69be1b89eb413f,diag-run-614f3cbda5e993e405e5,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-2.4424906541753444e-15,0.30472512413066827,-0.07158502706199155,0.025823745011250503,0.15829868485628107,0.0076355854198739,-3.552713678800501e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-a0f813383468,g-60667963f6db3f1b,1103,a2-cc259eff3df75d8dcae0,diag-run-c46d6d86b0e5a1d6f7b9,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-5.995204332975845e-15,0.00766121953974421,-6.155131666907288e-05,0.00019271042764460074,0.005552719764699399,9.930753557509976e-05,2.664535259100376e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-a0f813383468,g-60667963f6db3f1b,2207,a2-ab57abc231255eed846f,diag-run-c3bf5d0c2476cf3fce7e,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-2.886579864025407e-15,0.5051249032812375,-0.0014940789813833177,0.002258795126872312,0.012690907453012823,0.0018726791232228021,2.4424906541753444e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-a0f813383468,g-60667963f6db3f1b,3301,a2-505c92621d5ba98431a6,diag-run-82a82b112ed8c31d7016,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-1.9984014443252818e-15,0.809789247861869,-0.03259282911405026,0.0273864651626744,0.14735951930320623,0.012973471861879901,2.886579864025407e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-f1a738d52e35,g-60667963f6db3f1b,1103,a2-d28e9711ca5b31d5965f,diag-run-33f28ed14d3468b273d7,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-3.774758283725532e-15,0.030802290603566686,-7.716478281460937e-06,-2.087760845259981e-05,-0.0008034872181066355,-1.5383449976699888e-05,-2.220446049250313e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-f1a738d52e35,g-60667963f6db3f1b,2207,a2-d4959ea09e9666739417,diag-run-e38b97f19793231a6dce,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-8.881784197001252e-16,0.8708821489466599,0.01800782159132841,-0.010776828837967906,-0.09511935820603323,-0.0066946586931526005,4.218847493575595e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-f1a738d52e35,g-60667963f6db3f1b,3301,a2-6d96482d05cc16b178af,diag-run-e0f6b0943cc6241a299c,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-2.220446049250313e-16,1.3433310888164942,-0.09537092168412875,-0.0099723495291648,-0.417313157861835,-0.0046737653650685,5.10702591327572e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,1103,a2-ba2a74e973ffe262530e,diag-run-52cadb4bb80c2d00ce07,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-3.1086244689504383e-15,0.5360526525351301,-0.00547079583807486,0.0014878256059056,0.06851118125563727,0.0007693379956651997,-3.1086244689504387e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,2207,a2-f395936a950a35282e45,diag-run-f1504ff35dca2c612d43,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,1.7763568394002505e-15,1.9470625112205653e-10,-2.0142776335774215e-11,9.365001829575448e-12,8.965250763992572e-11,6.967999094387167e-12,-1.3322676295501878e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,3301,a2-0d8512dd24c905183cc6,diag-run-b8f1f012086082cb4472,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,0.0,0.6659231424746869,0.033898373004771054,-0.007275543386987798,-0.16932281976073815,-0.0045573026032233,-6.661338147750939e-16,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,1103,a2-5712f8bba0ada5d8f37c,diag-run-644bfd72c1fd9736915f,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,66,95,False,False,4.6629367034256575e-15,0.02748453709930318,1.0863678674422061e-06,1.334678881899018e-06,3.856731890883314e-05,5.22572242799349e-07,-3.996802888650564e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,2207,a2-b9320ef94a963d23ea9d,diag-run-47ad6c67212cc764cabb,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,2.6645352591003757e-15,0.019864425010220708,0.0003280577576818544,0.0010150976395390948,0.005318578018350006,0.0007167618872252965,-6.439293542825908e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,3301,a2-2c0efcc649c26863b113,diag-run-d65d6b8db9c6c5de2f41,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-5.329070518200751e-15,0.16650629170436618,0.023637929425956772,-0.007870184762595898,-0.1014413211440548,-0.0048364158397568024,1.3322676295501878e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,1103,a2-ef95b82c9b793a64aeb2,diag-run-9fd5795addb35e0bae6f,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,48,65,False,False,-2.220446049250313e-16,0.0026994013730135278,-2.036050517073562e-06,1.2683477761000345e-06,0.00010725615300455349,1.2683477761000345e-06,6.8833827526759706e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,2207,a2-8e27f60d8b0103fee6da,diag-run-1300fab9be985291e7d3,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-2.886579864025407e-15,0.2100085015367874,0.018071563589979744,-0.0022303852137751006,-0.12851679020787143,-0.0022303852137751006,-1.7763568394002505e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,3301,a2-ac6c3fef67312f2d6f81,diag-run-01b8033d298f32d77c6f,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-2.4424906541753444e-15,0.8289317982215538,-0.06169134471736215,0.007029888584415799,0.3383229408272803,0.007029888584415799,2.664535259100376e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,1103,a2-ae0be909c71685955224,diag-run-f00fc235141d531d425b,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-1.1102230246251565e-15,1.1588438653120647e-08,2.240518881535536e-11,-4.956744008299818e-10,-1.5996640345683488e-08,-2.884334993069615e-10,-3.996802888650564e-15,PROTOCOL_NOT_FULLY_IDENTICAL
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,2207,a2-caa2d513498398ee825c,diag-run-60fe2f5eaf1800b791ad,True,True,True,True,0.0,True,True,True,True,False,1.18.0,1.17.0,False,120,120,True,False,-2.886579864025407e-15,0.4798638861102316,0.0026986970976732305,0.0001659037118601006,0.014123116601643698,5.7123630416100035e-05,-1.7763568394002505e-15,PROTOCOL_NOT_FULLY_IDENTICAL
