experiment,run_id,task_id,graph_id,objective,optimizer,depth,alpha,nfev_budget,actual_nfev,shots,seed,status,started_at,finished_at,runtime_s,output_path,error_message,git_commit,dirty_state_fingerprint
A1_OPTIMIZER_ROBUSTNESS,a1-02a4c9c770f152a29809,task-v2-f83834022ee2,g-553bb3c5ba0f2136,O3,COBYLA,2.0,0.1,120.0,38.0,,2207.0,COMPLETE,2026-09-04T05:40:03+02:00,2026-09-04T05:40:03+02:00,0.061541262082755566,results/reviewer_robustness/A1_optimizer/runs/a1-02a4c9c770f152a29809.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-02b2419be9d8a6b2466d,task-v2-0c6c4504c3d3,g-8a16a856f5377a40,O3,COBYLA,2.0,0.1,120.0,120.0,,2207.0,COMPLETE,2026-09-04T05:40:11+02:00,2026-09-04T05:40:12+02:00,0.48265261854976416,results/reviewer_robustness/A1_optimizer/runs/a1-02b2419be9d8a6b2466d.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-02b8de6de9972595914f,task-v2-a2561503b5d0,g-bd62d2d752385cc7,O0,COBYLA,2.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T05:40:47+02:00,2026-09-04T05:40:51+02:00,4.186655396595597,results/reviewer_robustness/A1_optimizer/runs/a1-02b8de6de9972595914f.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-02c70b3c05a31b55657d,task-v2-0c6c4504c3d3,g-8a16a856f5377a40,O3,SLSQP,3.0,0.1,120.0,120.0,,2207.0,COMPLETE,2026-09-04T05:40:22+02:00,2026-09-04T05:40:23+02:00,0.440056880004704,results/reviewer_robustness/A1_optimizer/runs/a1-02c70b3c05a31b55657d.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-02c8e8d3e4a3b44a74b4,task-v2-a2561503b5d0,g-bd62d2d752385cc7,O0,COBYLA,3.0,0.1,120.0,120.0,,1103.0,COMPLETE,2026-09-04T05:40:51+02:00,2026-09-04T05:40:57+02:00,5.939124647527933,results/reviewer_robustness/A1_optimizer/runs/a1-02c8e8d3e4a3b44a74b4.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-02dd8717811ce66a2248,task-v2-3f11ce371857,g-3ff7063ef9ea5cfb,O0,COBYLA,3.0,0.1,120.0,120.0,,2207.0,COMPLETE,2026-09-04T04:33:44+02:00,2026-09-04T04:33:51+02:00,7.199767021462321,results/reviewer_robustness/A1_optimizer/runs/a1-02dd8717811ce66a2248.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-0317fc0472dfcea79295,task-v2-5acbf653f95a,g-a712031e7959d564,O3,SLSQP,2.0,0.1,120.0,111.0,,1103.0,COMPLETE,2026-09-04T05:40:21+02:00,2026-09-04T05:40:21+02:00,0.26901883352547884,results/reviewer_robustness/A1_optimizer/runs/a1-0317fc0472dfcea79295.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-032274bde8f56bab79c2,task-v2-5d31ef4af595,g-bd62d2d752385cc7,O0,SLSQP,3.0,0.1,120.0,120.0,,2207.0,COMPLETE,2026-09-04T04:36:31+02:00,2026-09-04T04:36:37+02:00,6.466020450927317,results/reviewer_robustness/A1_optimizer/runs/a1-032274bde8f56bab79c2.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-03282690326f1b3d18c3,task-v2-d7382a83ef13,g-548c8c6335dd2a2e,O3,SLSQP,3.0,0.1,120.0,63.0,,2207.0,COMPLETE,2026-09-04T05:40:05+02:00,2026-09-04T05:40:05+02:00,0.033032067120075226,results/reviewer_robustness/A1_optimizer/runs/a1-03282690326f1b3d18c3.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-0368a87ae114dc0e73d5,task-v2-9f1427c2fbd8,g-3ff7063ef9ea5cfb,O0,Nelder-Mead,2.0,0.1,120.0,120.0,,2207.0,COMPLETE,2026-09-04T05:41:38+02:00,2026-09-04T05:41:42+02:00,3.94877833686769,results/reviewer_robustness/A1_optimizer/runs/a1-0368a87ae114dc0e73d5.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-036b6e2badc9f6607a8f,task-v2-89b7591232ff,g-e0c69f84d376b633,O0,SLSQP,3.0,0.1,120.0,120.0,,1103.0,COMPLETE,2026-09-04T07:14:29+02:00,2026-09-04T07:16:43+02:00,134.60913691017777,results/reviewer_robustness/A1_optimizer/runs/a1-036b6e2badc9f6607a8f.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-037aca2b34e7bf8bbaf6,task-v2-420d9636beee,g-e0c69f84d376b633,O0,SLSQP,2.0,0.1,120.0,109.0,,3301.0,COMPLETE,2026-09-04T05:20:30+02:00,2026-09-04T05:21:39+02:00,69.71295174956322,results/reviewer_robustness/A1_optimizer/runs/a1-037aca2b34e7bf8bbaf6.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-0383c81b93192058dcfd,task-v2-8f4071cbe937,g-8a16a856f5377a40,O3,Nelder-Mead,3.0,0.1,120.0,120.0,,1103.0,COMPLETE,2026-09-04T05:40:12+02:00,2026-09-04T05:40:12+02:00,0.42203643545508385,results/reviewer_robustness/A1_optimizer/runs/a1-0383c81b93192058dcfd.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-0391a74123784495f0d6,task-v2-a2561503b5d0,g-bd62d2d752385cc7,O0,SLSQP,3.0,0.1,120.0,120.0,,2207.0,COMPLETE,2026-09-04T05:42:57+02:00,2026-09-04T05:43:02+02:00,5.534095988608897,results/reviewer_robustness/A1_optimizer/runs/a1-0391a74123784495f0d6.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-03995732111922b851e9,task-v2-f1a738d52e35,g-60667963f6db3f1b,O3,SLSQP,3.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T05:40:07+02:00,2026-09-04T05:40:07+02:00,0.15535027906298637,results/reviewer_robustness/A1_optimizer/runs/a1-03995732111922b851e9.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-03a0c8ffbb6a54b7a8e5,task-v2-5acbf653f95a,g-a712031e7959d564,O3,SLSQP,2.0,0.1,120.0,100.0,,2207.0,COMPLETE,2026-09-04T05:40:21+02:00,2026-09-04T05:40:21+02:00,0.23762591183185577,results/reviewer_robustness/A1_optimizer/runs/a1-03a0c8ffbb6a54b7a8e5.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-03c3163d05b284af34fd,task-v2-5b0627539151,g-a712031e7959d564,O3,SLSQP,2.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T05:40:36+02:00,2026-09-04T05:40:37+02:00,0.35664120968431234,results/reviewer_robustness/A1_optimizer/runs/a1-03c3163d05b284af34fd.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-03eda6f9b50cc88116a0,task-v2-89b7591232ff,g-e0c69f84d376b633,O0,Nelder-Mead,3.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T07:04:44+02:00,2026-09-04T07:06:53+02:00,129.86029883660376,results/reviewer_robustness/A1_optimizer/runs/a1-03eda6f9b50cc88116a0.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-0464a6b1b5e9a37f3042,task-v2-5de325b6f026,g-8a16a856f5377a40,O3,SLSQP,3.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T05:40:20+02:00,2026-09-04T05:40:21+02:00,0.4134021885693073,results/reviewer_robustness/A1_optimizer/runs/a1-0464a6b1b5e9a37f3042.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-048029993e2354ad4732,task-v2-095187356858,g-3ff7063ef9ea5cfb,O3,COBYLA,2.0,0.1,120.0,120.0,,2207.0,COMPLETE,2026-09-04T05:40:55+02:00,2026-09-04T05:41:00+02:00,4.198273902758956,results/reviewer_robustness/A1_optimizer/runs/a1-048029993e2354ad4732.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-04b0083f186df5aa693f,task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,O3,COBYLA,3.0,0.1,120.0,120.0,,1103.0,COMPLETE,2026-09-04T04:51:17+02:00,2026-09-04T04:53:19+02:00,121.86519626807421,results/reviewer_robustness/A1_optimizer/runs/a1-04b0083f186df5aa693f.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-04c245f4d0b3329bf1b2,task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,O0,Nelder-Mead,2.0,0.1,120.0,120.0,,1103.0,COMPLETE,2026-09-04T05:40:05+02:00,2026-09-04T05:40:05+02:00,0.08216784428805113,results/reviewer_robustness/A1_optimizer/runs/a1-04c245f4d0b3329bf1b2.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-04faabb2c9049d236efe,task-v2-4746dcc3bd93,g-a87f1b9ac089cc45,O0,Nelder-Mead,3.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T05:05:50+02:00,2026-09-04T05:07:47+02:00,116.81010817922652,results/reviewer_robustness/A1_optimizer/runs/a1-04faabb2c9049d236efe.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-05137b35e857ef777311,task-v2-0c6c4504c3d3,g-8a16a856f5377a40,O0,SLSQP,3.0,0.1,120.0,120.0,,1103.0,COMPLETE,2026-09-04T05:40:20+02:00,2026-09-04T05:40:20+02:00,0.4514434328302741,results/reviewer_robustness/A1_optimizer/runs/a1-05137b35e857ef777311.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-05230efb5e23dceb998c,task-v2-a2561503b5d0,g-bd62d2d752385cc7,O3,COBYLA,2.0,0.1,120.0,120.0,,1103.0,COMPLETE,2026-09-04T05:41:09+02:00,2026-09-04T05:41:13+02:00,4.036378378979862,results/reviewer_robustness/A1_optimizer/runs/a1-05230efb5e23dceb998c.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-0543ba1a989b1fd28f82,task-v2-f1a738d52e35,g-60667963f6db3f1b,O0,Nelder-Mead,3.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T05:40:05+02:00,2026-09-04T05:40:05+02:00,0.11472588870674372,results/reviewer_robustness/A1_optimizer/runs/a1-0543ba1a989b1fd28f82.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-054ed2bce5fa11d19e5e,task-v2-ef23e17da545,g-a712031e7959d564,O3,Nelder-Mead,3.0,0.1,120.0,120.0,,1103.0,COMPLETE,2026-09-04T05:40:28+02:00,2026-09-04T05:40:28+02:00,0.5033097676932812,results/reviewer_robustness/A1_optimizer/runs/a1-054ed2bce5fa11d19e5e.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-055951af06192b9962e2,task-v2-f5c9b9bdeb27,g-a87f1b9ac089cc45,O3,COBYLA,2.0,0.1,120.0,120.0,,2207.0,COMPLETE,2026-09-04T04:48:23+02:00,2026-09-04T04:49:51+02:00,87.35348783247173,results/reviewer_robustness/A1_optimizer/runs/a1-055951af06192b9962e2.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-056d7e7b6b999099ea24,task-v2-6e79cb6720c5,g-e0c69f84d376b633,O3,Nelder-Mead,2.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T06:20:55+02:00,2026-09-04T06:22:24+02:00,88.45879179984331,results/reviewer_robustness/A1_optimizer/runs/a1-056d7e7b6b999099ea24.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-05dbb2dfce0a24172a4a,task-v2-780e1209d403,g-e0c69f84d376b633,O0,COBYLA,2.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T04:39:56+02:00,2026-09-04T04:41:14+02:00,78.01624018698931,results/reviewer_robustness/A1_optimizer/runs/a1-05dbb2dfce0a24172a4a.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-0617e7deb50511da4960,task-v2-69173fedcdae,g-8a16a856f5377a40,O3,COBYLA,3.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T04:33:29+02:00,2026-09-04T04:33:30+02:00,0.7947800327092409,results/reviewer_robustness/A1_optimizer/runs/a1-0617e7deb50511da4960.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-066afa12c3d5fdbb32d9,task-v2-4e78b3f98433,g-553bb3c5ba0f2136,O3,COBYLA,3.0,0.1,120.0,83.0,,1103.0,COMPLETE,2026-09-04T04:33:18+02:00,2026-09-04T04:33:18+02:00,0.1685471050441265,results/reviewer_robustness/A1_optimizer/runs/a1-066afa12c3d5fdbb32d9.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-0688740e7ab9560c701a,task-v2-526a936f38d9,g-e0c69f84d376b633,O0,SLSQP,3.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T07:16:55+02:00,2026-09-04T07:19:05+02:00,130.69658261630684,results/reviewer_robustness/A1_optimizer/runs/a1-0688740e7ab9560c701a.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
A1_OPTIMIZER_ROBUSTNESS,a1-06a736247e3ce54ab22f,task-v2-07b8f456a957,g-3ff7063ef9ea5cfb,O3,COBYLA,2.0,0.1,120.0,120.0,,3301.0,COMPLETE,2026-09-04T05:41:15+02:00,2026-09-04T05:41:20+02:00,4.485202279873192,results/reviewer_robustness/A1_optimizer/runs/a1-06a736247e3ce54ab22f.json,,4d1111f3661f4b2df852eec2b382555a63e434d2,f8c23ecf893f3e7ab05000dc374f073c2ec933e5f7f4e4cb3b6e544c51f52e98
