task_id,graph_id,base_instance_id,size_stratum,tightness_level,target_n_edges,actual_n_edges,n_nodes,n_edges,n_qubits,resource_count,budget,budget_quantile,duplicate_budget,duplicate_feasible_set,n_candidate_routes,n_feasible_routes,route_feasible_fraction,state_space_size,n_feasible_states,feasible_state_fraction,n_optimal_states,optimal_cost,zero_feasible,task_build_time_s,exact_reference_time_s,representation_enumeration_time_s,structural_path_state_count,stress_level,base_index,stress_policy,target_feasible_route_count,actual_feasible_route_count,selection_reason,unique_resource_consumptions,achievable_distinct_feasible_sets,effective_distinct_stress_levels,stress_status,resource_support_min,resource_support_max,dilution_score,theoretical_min_positive_fraction
task-v2-628efc62dabb,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D1,7,7,6,7,7,1,1021.0,,False,False,3,1,0.3333333333333333,128,1,0.0078125,1,17.0,False,0.0004998045042157173,0.0008095316588878632,0.0007991036400198936,3,D1,4,distinct_feasible_route_cardinality,1,1,PREFERRED_EXACT,3,3,3,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.1072099696478683,0.0078125
task-v2-10d8be977e09,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D2,7,7,6,7,7,1,1392.0,,False,False,3,2,0.6666666666666666,128,2,0.015625,1,12.0,False,0.0004998045042157173,0.0008063418790698051,0.0007991036400198936,3,D2,4,distinct_feasible_route_cardinality,2,2,PREFERRED_EXACT,3,3,3,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,1.806179973983887,0.0078125
task-v2-a4fc95665697,g-e23fad4558949e26,v2-S1-b004-g-e23fad4558949e26,S1,D3,7,7,6,7,7,1,2021.0,,False,False,3,3,1.0,128,3,0.0234375,1,10.0,False,0.0004998045042157173,0.0008050370961427689,0.0007991036400198936,3,D3,4,distinct_feasible_route_cardinality,3,3,PREFERRED_EXACT,3,3,3,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,1.630088714928206,0.0078125
task-v2-3f363bac5736,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D1,10,10,8,10,10,1,1727.0,,False,False,4,1,0.25,1024,1,0.0009765625,1,23.0,False,0.0005791746079921722,0.004407458007335663,0.004397411830723286,4,D1,0,distinct_feasible_route_cardinality,1,1,PREFERRED_EXACT,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,3.010299956639812,0.0009765625
task-v2-f1a738d52e35,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D2,10,10,8,10,10,1,1902.0,,False,False,4,2,0.5,1024,2,0.001953125,1,9.0,False,0.0005791746079921722,0.004405006766319275,0.004397411830723286,4,D2,0,distinct_feasible_route_cardinality,2,2,PREFERRED_EXACT,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.709269960975831,0.0009765625
task-v2-a0f813383468,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D3,10,10,8,10,10,1,1979.0,,False,False,4,3,0.75,1024,3,0.0029296875,1,9.0,False,0.0005791746079921722,0.004404568113386631,0.004397411830723286,4,D3,0,distinct_feasible_route_cardinality,3,3,ADAPTIVE_RESOLUTION_FILL,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.5331787019201495,0.0009765625
task-v2-6996479d6302,g-60667963f6db3f1b,v2-S2-b000-g-60667963f6db3f1b,S2,D4,10,10,8,10,10,1,2940.0,,False,False,4,4,1.0,1024,4,0.00390625,1,9.0,False,0.0005791746079921722,0.004404204897582531,0.004397411830723286,4,D4,0,distinct_feasible_route_cardinality,4,4,PREFERRED_EXACT,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.4082399653118496,0.0009765625
task-v2-4d2b9f5eb099,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D1,10,10,8,10,10,1,1327.0,,False,False,4,1,0.25,1024,1,0.0009765625,1,13.0,False,0.00020475219935178757,0.004047619178891182,0.004044508561491966,4,D1,1,distinct_feasible_route_cardinality,1,1,PREFERRED_EXACT,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,3.010299956639812,0.0009765625
task-v2-2d64318cb7be,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D2,10,10,8,10,10,1,1531.0,,False,False,4,2,0.5,1024,2,0.001953125,1,13.0,False,0.00020475219935178757,0.004046858288347721,0.004044508561491966,4,D2,1,distinct_feasible_route_cardinality,2,2,PREFERRED_EXACT,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.709269960975831,0.0009765625
task-v2-3cd2eda112d3,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D3,10,10,8,10,10,1,2366.0,,False,False,4,3,0.75,1024,3,0.0029296875,2,13.0,False,0.00020475219935178757,0.0040466273203492165,0.004044508561491966,4,D3,1,distinct_feasible_route_cardinality,3,3,ADAPTIVE_RESOLUTION_FILL,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.5331787019201495,0.0009765625
task-v2-f4789f22d2c1,g-6aa6775bed3bc2cc,v2-S2-b001-g-6aa6775bed3bc2cc,S2,D4,10,10,8,10,10,1,2740.0,,False,False,4,4,1.0,1024,4,0.00390625,2,13.0,False,0.00020475219935178757,0.0040465351194143295,0.004044508561491966,4,D4,1,distinct_feasible_route_cardinality,4,4,PREFERRED_EXACT,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.4082399653118496,0.0009765625
task-v2-ff6e67bbbcba,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D1,10,10,8,10,10,1,1934.0,,False,False,4,1,0.25,1024,1,0.0009765625,1,12.0,False,0.0005989894270896912,0.0044055720791220665,0.0043960027396678925,4,D1,2,distinct_feasible_route_cardinality,1,1,PREFERRED_EXACT,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,3.010299956639812,0.0009765625
task-v2-a9de39f81405,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D2,10,10,8,10,10,1,2008.0,,False,False,4,2,0.5,1024,2,0.001953125,1,12.0,False,0.0005989894270896912,0.004403397440910339,0.0043960027396678925,4,D2,2,distinct_feasible_route_cardinality,2,2,PREFERRED_EXACT,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.709269960975831,0.0009765625
task-v2-b0f919379fb8,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D3,10,10,8,10,10,1,2824.0,,False,False,4,3,0.75,1024,3,0.0029296875,1,12.0,False,0.0005989894270896912,0.004402203485369682,0.0043960027396678925,4,D3,2,distinct_feasible_route_cardinality,3,3,ADAPTIVE_RESOLUTION_FILL,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.5331787019201495,0.0009765625
task-v2-d80673ba7cf0,g-0780828b282bb310,v2-S2-b002-g-0780828b282bb310,S2,D4,10,10,8,10,10,1,2974.0,,False,False,4,4,1.0,1024,4,0.00390625,1,12.0,False,0.0005989894270896912,0.004401900805532932,0.0043960027396678925,4,D4,2,distinct_feasible_route_cardinality,4,4,PREFERRED_EXACT,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.4082399653118496,0.0009765625
task-v2-30409dd5a775,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D1,10,10,8,10,10,1,272.0,,False,False,4,1,0.25,1024,1,0.0009765625,1,25.0,False,0.00031362753361463547,0.004247419536113739,0.004244135692715645,4,D1,3,distinct_feasible_route_cardinality,1,1,PREFERRED_EXACT,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,3.010299956639812,0.0009765625
task-v2-eed472030dc4,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D2,10,10,8,10,10,1,743.0,,False,False,4,2,0.5,1024,2,0.001953125,1,12.0,False,0.00031362753361463547,0.004246532917022705,0.004244135692715645,4,D2,3,distinct_feasible_route_cardinality,2,2,PREFERRED_EXACT,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.709269960975831,0.0009765625
task-v2-4507b50770a7,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D3,10,10,8,10,10,1,1437.0,,False,False,4,3,0.75,1024,3,0.0029296875,1,12.0,False,0.00031362753361463547,0.004246171563863754,0.004244135692715645,4,D3,3,distinct_feasible_route_cardinality,3,3,ADAPTIVE_RESOLUTION_FILL,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.5331787019201495,0.0009765625
task-v2-59e59ed3c03f,g-686fdbb6f8f550f1,v2-S2-b003-g-686fdbb6f8f550f1,S2,D4,10,10,8,10,10,1,1861.0,,False,False,4,4,1.0,1024,4,0.00390625,1,12.0,False,0.00031362753361463547,0.004246018826961517,0.004244135692715645,4,D4,3,distinct_feasible_route_cardinality,4,4,PREFERRED_EXACT,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.4082399653118496,0.0009765625
task-v2-de1e481a2b9a,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D1,10,10,8,10,10,1,858.0,,False,False,4,1,0.25,1024,1,0.0009765625,1,16.0,False,0.0005303667858242989,0.004076292738318443,0.004072921350598335,4,D1,4,distinct_feasible_route_cardinality,1,1,PREFERRED_EXACT,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,3.010299956639812,0.0009765625
task-v2-df25fe0d6e36,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D2,10,10,8,10,10,1,1083.0,,False,False,4,2,0.5,1024,2,0.001953125,1,16.0,False,0.0005303667858242989,0.004075389355421066,0.004072921350598335,4,D2,4,distinct_feasible_route_cardinality,2,2,PREFERRED_EXACT,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.709269960975831,0.0009765625
task-v2-0da346e5ae20,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D3,10,10,8,10,10,1,1736.0,,False,False,4,3,0.75,1024,3,0.0029296875,1,16.0,False,0.0005303667858242989,0.00407513789832592,0.004072921350598335,4,D3,4,distinct_feasible_route_cardinality,3,3,ADAPTIVE_RESOLUTION_FILL,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.5331787019201495,0.0009765625
task-v2-693f08fcb4be,g-8c950d2bd101a5de,v2-S2-b004-g-8c950d2bd101a5de,S2,D4,10,10,8,10,10,1,1829.0,,False,False,4,4,1.0,1024,4,0.00390625,1,16.0,False,0.0005303667858242989,0.004074864089488983,0.004072921350598335,4,D4,4,distinct_feasible_route_cardinality,4,4,PREFERRED_EXACT,4,4,4,INSUFFICIENT_DISTINCT_FEASIBLE_SETS,1,1000,2.4082399653118496,0.0009765625
task-v2-4968f3a685c2,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D1,13,13,8,13,13,1,768.0,,False,False,7,1,0.14285714285714285,8192,1,0.0001220703125,1,18.0,False,0.0005453396588563919,0.035073588602244854,0.03507023677229881,7,D1,0,distinct_feasible_route_cardinality,1,1,PREFERRED_EXACT,7,7,7,OK,1,1000,3.9133899436317554,0.0001220703125
task-v2-8f4071cbe937,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D2,13,13,8,13,13,1,925.0,,False,False,7,2,0.2857142857142857,8192,2,0.000244140625,1,16.0,False,0.0005453396588563919,0.03507264982908964,0.03507023677229881,7,D2,0,distinct_feasible_route_cardinality,2,2,PREFERRED_EXACT,7,7,7,OK,1,1000,3.612359947967774,0.0001220703125
task-v2-5de325b6f026,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D3,13,13,8,13,13,1,933.0,,False,False,7,3,0.42857142857142855,8192,3,0.0003662109375,2,16.0,False,0.0005453396588563919,0.03507240954786539,0.03507023677229881,7,D3,0,distinct_feasible_route_cardinality,3,3,ADAPTIVE_RESOLUTION_FILL,7,7,7,OK,1,1000,3.4362686889120932,0.0001220703125
task-v2-eb1005d46905,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D4,13,13,8,13,13,1,1180.0,,False,False,7,4,0.5714285714285714,8192,4,0.00048828125,1,8.0,False,0.0005453396588563919,0.035072311758995056,0.03507023677229881,7,D4,0,distinct_feasible_route_cardinality,4,4,PREFERRED_EXACT,7,7,7,OK,1,1000,3.311329952303793,0.0001220703125
task-v2-0c6c4504c3d3,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D5,13,13,8,13,13,1,1195.0,,False,False,7,5,0.7142857142857143,8192,5,0.0006103515625,1,8.0,False,0.0005453396588563919,0.03507229220122099,0.03507023677229881,7,D5,0,distinct_feasible_route_cardinality,5,5,ADAPTIVE_RESOLUTION_FILL,7,7,7,OK,1,1000,3.2144199392957367,0.0001220703125
task-v2-f0ef0f25a74e,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D6,13,13,8,13,13,1,1394.0,,False,False,7,6,0.8571428571428571,8192,6,0.000732421875,2,8.0,False,0.0005453396588563919,0.035072389990091324,0.03507023677229881,7,D6,0,distinct_feasible_route_cardinality,6,6,ADAPTIVE_RESOLUTION_FILL,7,7,7,OK,1,1000,3.135238693248112,0.0001220703125
task-v2-69173fedcdae,g-8a16a856f5377a40,v2-S3-b000-g-8a16a856f5377a40,S3,D7,13,13,8,13,13,1,1737.0,,False,False,7,7,1.0,8192,7,0.0008544921875,2,8.0,False,0.0005453396588563919,0.03507241513580084,0.03507023677229881,7,D7,0,distinct_feasible_route_cardinality,7,7,PREFERRED_EXACT,7,7,7,OK,1,1000,3.0682919036174985,0.0001220703125
task-v2-8792ce3c54d5,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D1,13,13,8,13,13,1,658.0,,False,False,7,1,0.14285714285714285,8192,1,0.0001220703125,1,10.0,False,0.00021445844322443008,0.03551776986569166,0.03551439382135868,7,D1,1,distinct_feasible_route_cardinality,1,1,PREFERRED_EXACT,7,7,7,OK,1,1000,3.9133899436317554,0.0001220703125
task-v2-5acbf653f95a,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D2,13,13,8,13,13,1,839.0,,False,False,7,2,0.2857142857142857,8192,2,0.000244140625,1,10.0,False,0.00021445844322443008,0.035516681149601936,0.03551439382135868,7,D2,1,distinct_feasible_route_cardinality,2,2,PREFERRED_EXACT,7,7,7,OK,1,1000,3.612359947967774,0.0001220703125
task-v2-ef23e17da545,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D3,13,13,8,13,13,1,949.0,,False,False,7,3,0.42857142857142855,8192,3,0.0003662109375,1,10.0,False,0.00021445844322443008,0.03551647998392582,0.03551439382135868,7,D3,1,distinct_feasible_route_cardinality,3,3,ADAPTIVE_RESOLUTION_FILL,7,7,7,OK,1,1000,3.4362686889120932,0.0001220703125
task-v2-ac528a9510be,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D4,13,13,8,13,13,1,1039.0,,False,False,7,4,0.5714285714285714,8192,4,0.00048828125,1,8.0,False,0.00021445844322443008,0.03551632445305586,0.03551439382135868,7,D4,1,distinct_feasible_route_cardinality,4,4,PREFERRED_EXACT,7,7,7,OK,1,1000,3.311329952303793,0.0001220703125
task-v2-5b0627539151,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D5,13,13,8,13,13,1,1363.0,,False,False,7,5,0.7142857142857143,8192,5,0.0006103515625,1,3.0,False,0.00021445844322443008,0.035516275092959404,0.03551439382135868,7,D5,1,distinct_feasible_route_cardinality,5,5,ADAPTIVE_RESOLUTION_FILL,7,7,7,OK,1,1000,3.2144199392957367,0.0001220703125
task-v2-c5ed7c8b71f4,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D6,13,13,8,13,13,1,1589.0,,False,False,7,6,0.8571428571428571,8192,6,0.000732421875,1,3.0,False,0.00021445844322443008,0.03551638312637806,0.03551439382135868,7,D6,1,distinct_feasible_route_cardinality,6,6,ADAPTIVE_RESOLUTION_FILL,7,7,7,OK,1,1000,3.135238693248112,0.0001220703125
task-v2-8c0a098a6f8b,g-a712031e7959d564,v2-S3-b001-g-a712031e7959d564,S3,D7,13,13,8,13,13,1,1678.0,,False,False,7,7,1.0,8192,7,0.0008544921875,1,3.0,False,0.00021445844322443008,0.035516404546797276,0.03551439382135868,7,D7,1,distinct_feasible_route_cardinality,7,7,PREFERRED_EXACT,7,7,7,OK,1,1000,3.0682919036174985,0.0001220703125
task-v2-eb747215294a,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D1,13,13,8,13,13,1,140.0,,False,False,7,1,0.14285714285714285,8192,1,0.0001220703125,1,19.0,False,0.0006415322422981262,0.03605374135077,0.03604356665164232,7,D1,2,distinct_feasible_route_cardinality,1,1,PREFERRED_EXACT,7,7,7,OK,1,1000,3.9133899436317554,0.0001220703125
task-v2-607a9c50d675,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D2,13,13,8,13,13,1,680.0,,False,False,7,2,0.2857142857142857,8192,2,0.000244140625,1,14.0,False,0.0006415322422981262,0.03605123423039913,0.03604356665164232,7,D2,2,distinct_feasible_route_cardinality,2,2,PREFERRED_EXACT,7,7,7,OK,1,1000,3.612359947967774,0.0001220703125
task-v2-cfa564be8207,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D3,13,13,8,13,13,1,950.0,,False,False,7,3,0.42857142857142855,8192,3,0.0003662109375,1,13.0,False,0.0006415322422981262,0.036050776951014996,0.03604356665164232,7,D3,2,distinct_feasible_route_cardinality,3,3,ADAPTIVE_RESOLUTION_FILL,7,7,7,OK,1,1000,3.4362686889120932,0.0001220703125
task-v2-5da0eece9ed4,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D4,13,13,8,13,13,1,979.0,,False,False,7,4,0.5714285714285714,8192,4,0.00048828125,1,12.0,False,0.0006415322422981262,0.03605005517601967,0.03604356665164232,7,D4,2,distinct_feasible_route_cardinality,4,4,PREFERRED_EXACT,7,7,7,OK,1,1000,3.311329952303793,0.0001220703125
task-v2-cd3aef86a98f,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D5,13,13,8,13,13,1,1012.0,,False,False,7,5,0.7142857142857143,8192,5,0.0006103515625,1,12.0,False,0.0006415322422981262,0.03604995924979448,0.03604356665164232,7,D5,2,distinct_feasible_route_cardinality,5,5,ADAPTIVE_RESOLUTION_FILL,7,7,7,OK,1,1000,3.2144199392957367,0.0001220703125
task-v2-8029d558b1a1,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D6,13,13,8,13,13,1,1057.0,,False,False,7,6,0.8571428571428571,8192,6,0.000732421875,1,12.0,False,0.0006415322422981262,0.036050149239599705,0.03604356665164232,7,D6,2,distinct_feasible_route_cardinality,6,6,ADAPTIVE_RESOLUTION_FILL,7,7,7,OK,1,1000,3.135238693248112,0.0001220703125
task-v2-147f90045792,g-fc8e50acd167f0aa,v2-S3-b002-g-fc8e50acd167f0aa,S3,D7,13,13,8,13,13,1,1424.0,,False,False,7,7,1.0,8192,7,0.0008544921875,1,12.0,False,0.0006415322422981262,0.03605026938021183,0.03604356665164232,7,D7,2,distinct_feasible_route_cardinality,7,7,PREFERRED_EXACT,7,7,7,OK,1,1000,3.0682919036174985,0.0001220703125
task-v2-8b88de51ba21,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D1,13,13,8,13,13,1,196.0,,False,False,7,1,0.14285714285714285,8192,1,0.0001220703125,1,7.0,False,0.00025280285626649857,0.03567260783165693,0.035669139586389065,7,D1,3,distinct_feasible_route_cardinality,1,1,PREFERRED_EXACT,7,7,7,OK,1,1000,3.9133899436317554,0.0001220703125
task-v2-df7a823d7a2b,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D2,13,13,8,13,13,1,763.0,,False,False,7,2,0.2857142857142857,8192,2,0.000244140625,1,7.0,False,0.00025280285626649857,0.035671718418598175,0.035669139586389065,7,D2,3,distinct_feasible_route_cardinality,2,2,PREFERRED_EXACT,7,7,7,OK,1,1000,3.612359947967774,0.0001220703125
task-v2-0ae6410749b4,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D3,13,13,8,13,13,1,767.0,,False,False,7,3,0.42857142857142855,8192,3,0.0003662109375,1,7.0,False,0.00025280285626649857,0.03567138779908419,0.035669139586389065,7,D3,3,distinct_feasible_route_cardinality,3,3,ADAPTIVE_RESOLUTION_FILL,7,7,7,OK,1,1000,3.4362686889120932,0.0001220703125
task-v2-f12c027474e2,g-f0c91af33253395a,v2-S3-b003-g-f0c91af33253395a,S3,D4,13,13,8,13,13,1,1142.0,,False,False,7,4,0.5714285714285714,8192,4,0.00048828125,1,7.0,False,0.00025280285626649857,0.03567118011415005,0.035669139586389065,7,D4,3,distinct_feasible_route_cardinality,4,4,PREFERRED_EXACT,7,7,7,OK,1,1000,3.311329952303793,0.0001220703125
