task_id,graph_id,base_instance_id,size_stratum,tightness_level,target_n_edges,actual_n_edges,n_nodes,n_edges,n_qubits,resource_count,budget,budget_quantile,duplicate_budget,duplicate_feasible_set,n_candidate_routes,n_feasible_routes,route_feasible_fraction,state_space_size,n_feasible_states,feasible_state_fraction,n_optimal_states,optimal_cost,zero_feasible,task_build_time_s,exact_reference_time_s,representation_enumeration_time_s,structural_path_state_count
task-b7456ec5dd73,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T4,7,7,6,7,7,1,13.0,0.55,True,True,3,2,0.6666666666666666,128,2,0.015625,1,8.0,False,0.0002631070092320442,0.0005186432972550392,0.00048620905727148056,3
task-30f431210fe5,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T5,7,7,6,7,7,1,9.0,0.4,False,False,3,1,0.3333333333333333,128,1,0.0078125,1,12.0,False,0.0002631070092320442,0.0005196668207645416,0.00048620905727148056,3
task-76f1d884eb1e,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T6,7,7,6,7,7,1,9.0,0.2,True,True,3,1,0.3333333333333333,128,1,0.0078125,1,12.0,False,0.0002631070092320442,0.0005167322233319283,0.00048620905727148056,3
task-873e9cfcf181,g-c6bcaa76a703859c,S1-b001-g-c6bcaa76a703859c,S1,T7,7,7,6,7,7,1,9.0,0.0,True,True,3,1,0.3333333333333333,128,1,0.0078125,1,12.0,False,0.0002631070092320442,0.0005158046260476112,0.00048620905727148056,3
task-88583c1e45fa,g-d4602cd1b1dba4b7,S1-b002-g-d4602cd1b1dba4b7,S1,T1,7,7,6,7,7,1,17.0,1.0,False,False,3,3,1.0,128,3,0.0234375,1,9.0,False,0.0005649225786328316,0.0005711996927857399,0.00048454105854034424,3
task-dcc158caa269,g-d4602cd1b1dba4b7,S1-b002-g-d4602cd1b1dba4b7,S1,T2,7,7,6,7,7,1,12.0,0.85,False,False,3,2,0.6666666666666666,128,2,0.015625,1,9.0,False,0.0005649225786328316,0.0005240077152848244,0.00048454105854034424,3
task-862146077326,g-d4602cd1b1dba4b7,S1-b002-g-d4602cd1b1dba4b7,S1,T3,7,7,6,7,7,1,12.0,0.7,True,True,3,2,0.6666666666666666,128,2,0.015625,1,9.0,False,0.0005649225786328316,0.0005189199000597,0.00048454105854034424,3
task-3a029ce260fe,g-d4602cd1b1dba4b7,S1-b002-g-d4602cd1b1dba4b7,S1,T4,7,7,6,7,7,1,12.0,0.55,True,True,3,2,0.6666666666666666,128,2,0.015625,1,9.0,False,0.0005649225786328316,0.0005163131281733513,0.00048454105854034424,3
task-b83a352bddbe,g-d4602cd1b1dba4b7,S1-b002-g-d4602cd1b1dba4b7,S1,T5,7,7,6,7,7,1,5.0,0.4,False,False,3,1,0.3333333333333333,128,1,0.0078125,1,9.0,False,0.0005649225786328316,0.0005184775218367577,0.00048454105854034424,3
task-0bd69551397f,g-d4602cd1b1dba4b7,S1-b002-g-d4602cd1b1dba4b7,S1,T6,7,7,6,7,7,1,5.0,0.2,True,True,3,1,0.3333333333333333,128,1,0.0078125,1,9.0,False,0.0005649225786328316,0.0005149161443114281,0.00048454105854034424,3
task-9d7f6360fe6f,g-d4602cd1b1dba4b7,S1-b002-g-d4602cd1b1dba4b7,S1,T7,7,7,6,7,7,1,5.0,0.0,True,True,3,1,0.3333333333333333,128,1,0.0078125,1,9.0,False,0.0005649225786328316,0.0005136821419000626,0.00048454105854034424,3
task-050dc4a3706b,g-f318c6a9c544d080,S1-b003-g-f318c6a9c544d080,S1,T1,7,7,6,7,7,1,20.0,1.0,False,False,3,3,1.0,128,3,0.0234375,1,15.0,False,0.0005102269351482391,0.0005976120010018349,0.00048617832362651825,3
task-5ff86e3ec5c3,g-f318c6a9c544d080,S1-b003-g-f318c6a9c544d080,S1,T2,7,7,6,7,7,1,13.0,0.85,False,False,3,2,0.6666666666666666,128,2,0.015625,1,15.0,False,0.0005102269351482391,0.00052635557949543,0.00048617832362651825,3
task-a0ada81b516c,g-f318c6a9c544d080,S1-b003-g-f318c6a9c544d080,S1,T3,7,7,6,7,7,1,13.0,0.7,True,True,3,2,0.6666666666666666,128,2,0.015625,1,15.0,False,0.0005102269351482391,0.0005198288708925247,0.00048617832362651825,3
task-5bf0f1402257,g-f318c6a9c544d080,S1-b003-g-f318c6a9c544d080,S1,T4,7,7,6,7,7,1,13.0,0.55,True,True,3,2,0.6666666666666666,128,2,0.015625,1,15.0,False,0.0005102269351482391,0.0005171094089746475,0.00048617832362651825,3
task-e1a31e22e9a4,g-f318c6a9c544d080,S1-b003-g-f318c6a9c544d080,S1,T5,7,7,6,7,7,1,10.0,0.4,False,False,3,1,0.3333333333333333,128,1,0.0078125,1,18.0,False,0.0005102269351482391,0.0005158251151442528,0.00048617832362651825,3
task-1adca36e6b67,g-f318c6a9c544d080,S1-b003-g-f318c6a9c544d080,S1,T6,7,7,6,7,7,1,10.0,0.2,True,True,3,1,0.3333333333333333,128,1,0.0078125,1,18.0,False,0.0005102269351482391,0.0005155224353075027,0.00048617832362651825,3
task-f8ef881c807b,g-f318c6a9c544d080,S1-b003-g-f318c6a9c544d080,S1,T7,7,7,6,7,7,1,10.0,0.0,True,True,3,1,0.3333333333333333,128,1,0.0078125,1,18.0,False,0.0005102269351482391,0.0005163382738828659,0.00048617832362651825,3
task-c7ecf483369a,g-9df77dbccff877f5,S1-b004-g-9df77dbccff877f5,S1,T1,7,7,6,7,7,1,20.0,1.0,False,False,3,3,1.0,128,3,0.0234375,1,10.0,False,0.0003232937306165695,0.0005951570346951485,0.00048071984201669693,3
task-6be829250e7e,g-9df77dbccff877f5,S1-b004-g-9df77dbccff877f5,S1,T2,7,7,6,7,7,1,14.0,0.85,False,False,3,2,0.6666666666666666,128,2,0.015625,1,12.0,False,0.0003232937306165695,0.0005231909453868866,0.00048071984201669693,3
task-4d62d76be924,g-9df77dbccff877f5,S1-b004-g-9df77dbccff877f5,S1,T3,7,7,6,7,7,1,14.0,0.7,True,True,3,2,0.6666666666666666,128,2,0.015625,1,12.0,False,0.0003232937306165695,0.0005153296515345573,0.00048071984201669693,3
task-63cff6b637db,g-9df77dbccff877f5,S1-b004-g-9df77dbccff877f5,S1,T4,7,7,6,7,7,1,14.0,0.55,True,True,3,2,0.6666666666666666,128,2,0.015625,1,12.0,False,0.0003232937306165695,0.0005119219422340393,0.00048071984201669693,3
task-53f01218dac9,g-9df77dbccff877f5,S1-b004-g-9df77dbccff877f5,S1,T5,7,7,6,7,7,1,10.0,0.4,False,False,3,1,0.3333333333333333,128,1,0.0078125,1,17.0,False,0.0003232937306165695,0.0005133617669343948,0.00048071984201669693,3
task-01aa93a292dc,g-9df77dbccff877f5,S1-b004-g-9df77dbccff877f5,S1,T6,7,7,6,7,7,1,10.0,0.2,True,True,3,1,0.3333333333333333,128,1,0.0078125,1,17.0,False,0.0003232937306165695,0.0005152979865670204,0.00048071984201669693,3
task-6b0021056900,g-9df77dbccff877f5,S1-b004-g-9df77dbccff877f5,S1,T7,7,7,6,7,7,1,10.0,0.0,True,True,3,1,0.3333333333333333,128,1,0.0078125,1,17.0,False,0.0003232937306165695,0.0005107074975967407,0.00048071984201669693,3
task-ee5e2ea8e960,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T1,10,10,8,10,10,1,27.0,1.0,False,False,4,4,1.0,1024,4,0.00390625,1,9.0,False,0.0005829036235809326,0.004304110072553158,0.004197802394628525,4
task-ebbfbcdd78dd,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T2,10,10,8,10,10,1,18.0,0.85,False,False,4,3,0.75,1024,3,0.0029296875,1,9.0,False,0.0005829036235809326,0.004238223657011986,0.004197802394628525,4
task-f1a71f28abbe,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T3,10,10,8,10,10,1,18.0,0.7,True,True,4,3,0.75,1024,3,0.0029296875,1,9.0,False,0.0005829036235809326,0.004231712780892849,0.004197802394628525,4
task-3055188b40aa,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T4,10,10,8,10,10,1,18.0,0.55,True,True,4,3,0.75,1024,3,0.0029296875,1,9.0,False,0.0005829036235809326,0.004230467602610588,0.004197802394628525,4
task-6f5b63878384,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T5,10,10,8,10,10,1,18.0,0.4,True,True,4,3,0.75,1024,3,0.0029296875,1,9.0,False,0.0005829036235809326,0.00422795582562685,0.004197802394628525,4
task-6582de85d802,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T6,10,10,8,10,10,1,17.0,0.2,False,False,4,1,0.25,1024,1,0.0009765625,1,23.0,False,0.0005829036235809326,0.004227150231599808,0.004197802394628525,4
task-f81feb5c73a8,g-c0608305feeffbb0,S2-b000-g-c0608305feeffbb0,S2,T7,10,10,8,10,10,1,17.0,0.0,True,True,4,1,0.25,1024,1,0.0009765625,1,23.0,False,0.0005829036235809326,0.004229158163070679,0.004197802394628525,4
task-da525fcc95dc,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T1,10,10,8,10,10,1,26.0,1.0,False,False,4,4,1.0,1024,4,0.00390625,2,13.0,False,0.0006307456642389297,0.004412858746945858,0.004203951917588711,4
task-52f024109520,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T2,10,10,8,10,10,1,23.0,0.85,False,False,4,3,0.75,1024,3,0.0029296875,2,13.0,False,0.0006307456642389297,0.004318989813327789,0.004203951917588711,4
task-9b88e16215ea,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T3,10,10,8,10,10,1,23.0,0.7,True,True,4,3,0.75,1024,3,0.0029296875,2,13.0,False,0.0006307456642389297,0.004257638938724995,0.004203951917588711,4
task-8c3c093f9a2e,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T4,10,10,8,10,10,1,15.0,0.55,False,False,4,2,0.5,1024,2,0.001953125,1,13.0,False,0.0006307456642389297,0.004235758446156979,0.004203951917588711,4
task-9841f59546c6,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T5,10,10,8,10,10,1,15.0,0.4,True,True,4,2,0.5,1024,2,0.001953125,1,13.0,False,0.0006307456642389297,0.004234489984810352,0.004203951917588711,4
task-e84a7c9189f6,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T6,10,10,8,10,10,1,13.0,0.2,False,False,4,1,0.25,1024,1,0.0009765625,1,13.0,False,0.0006307456642389297,0.0042337337508797646,0.004203951917588711,4
task-52c1f8aedc9f,g-43af4a2bb7f827f7,S2-b001-g-43af4a2bb7f827f7,S2,T7,10,10,8,10,10,1,13.0,0.0,True,True,4,1,0.25,1024,1,0.0009765625,1,13.0,False,0.0006307456642389297,0.004233354702591896,0.004203951917588711,4
task-914163536124,g-dcee0d154a6a56e8,S2-b002-g-dcee0d154a6a56e8,S2,T1,10,10,8,10,10,1,28.0,1.0,False,False,4,4,1.0,1024,4,0.00390625,1,12.0,False,0.0006233826279640198,0.004302592948079109,0.004206023178994656,4
task-71553fba9095,g-dcee0d154a6a56e8,S2-b002-g-dcee0d154a6a56e8,S2,T2,10,10,8,10,10,1,27.0,0.85,False,False,4,3,0.75,1024,3,0.0029296875,1,12.0,False,0.0006233826279640198,0.004255158826708794,0.004206023178994656,4
task-63edffcea6a6,g-dcee0d154a6a56e8,S2-b002-g-dcee0d154a6a56e8,S2,T3,10,10,8,10,10,1,27.0,0.7,True,True,4,3,0.75,1024,3,0.0029296875,1,12.0,False,0.0006233826279640198,0.00424105953425169,0.004206023178994656,4
task-ea4bec6fe8a7,g-dcee0d154a6a56e8,S2-b002-g-dcee0d154a6a56e8,S2,T4,10,10,8,10,10,1,20.0,0.55,False,False,4,2,0.5,1024,2,0.001953125,1,12.0,False,0.0006233826279640198,0.004238505847752094,0.004206023178994656,4
task-38bc946f1860,g-dcee0d154a6a56e8,S2-b002-g-dcee0d154a6a56e8,S2,T5,10,10,8,10,10,1,20.0,0.4,True,True,4,2,0.5,1024,2,0.001953125,1,12.0,False,0.0006233826279640198,0.00423638429492712,0.004206023178994656,4
task-2aaeeb72eba4,g-dcee0d154a6a56e8,S2-b002-g-dcee0d154a6a56e8,S2,T6,10,10,8,10,10,1,19.0,0.2,False,False,4,1,0.25,1024,1,0.0009765625,1,12.0,False,0.0006233826279640198,0.0042361002415418625,0.004206023178994656,4
task-0b722f0689b8,g-dcee0d154a6a56e8,S2-b002-g-dcee0d154a6a56e8,S2,T7,10,10,8,10,10,1,19.0,0.0,True,True,4,1,0.25,1024,1,0.0009765625,1,12.0,False,0.0006233826279640198,0.00423519778996706,0.004206023178994656,4
task-b5ca8a15143a,g-1aeebbf57e1fc02e,S2-b003-g-1aeebbf57e1fc02e,S2,T1,10,10,8,10,10,1,18.0,1.0,False,False,4,4,1.0,1024,4,0.00390625,1,12.0,False,0.0003299126401543617,0.004297577776014805,0.004183310084044933,4
task-9ea7f849c3b0,g-1aeebbf57e1fc02e,S2-b003-g-1aeebbf57e1fc02e,S2,T2,10,10,8,10,10,1,16.0,0.85,False,False,4,3,0.75,1024,3,0.0029296875,1,12.0,False,0.0003299126401543617,0.004224623553454876,0.004183310084044933,4
task-7c8ef260f515,g-1aeebbf57e1fc02e,S2-b003-g-1aeebbf57e1fc02e,S2,T3,10,10,8,10,10,1,16.0,0.7,True,True,4,3,0.75,1024,3,0.0029296875,1,12.0,False,0.0003299126401543617,0.004223713651299477,0.004183310084044933,4
task-97c4300f4ecb,g-1aeebbf57e1fc02e,S2-b003-g-1aeebbf57e1fc02e,S2,T4,10,10,8,10,10,1,8.0,0.55,False,False,4,2,0.5,1024,2,0.001953125,1,12.0,False,0.0003299126401543617,0.0042154621332883835,0.004183310084044933,4
task-270410330ec3,g-1aeebbf57e1fc02e,S2-b003-g-1aeebbf57e1fc02e,S2,T5,10,10,8,10,10,1,8.0,0.4,True,True,4,2,0.5,1024,2,0.001953125,1,12.0,False,0.0003299126401543617,0.004214015789330006,0.004183310084044933,4
task-24f57792cdb2,g-1aeebbf57e1fc02e,S2-b003-g-1aeebbf57e1fc02e,S2,T6,10,10,8,10,10,1,5.0,0.2,False,False,4,1,0.25,1024,1,0.0009765625,1,25.0,False,0.0003299126401543617,0.004214719869196415,0.004183310084044933,4
task-c75cc09b0a57,g-1aeebbf57e1fc02e,S2-b003-g-1aeebbf57e1fc02e,S2,T7,10,10,8,10,10,1,5.0,0.0,True,True,4,1,0.25,1024,1,0.0009765625,1,25.0,False,0.0003299126401543617,0.004213287495076656,0.004183310084044933,4
task-e17134f44028,g-09b1133f6e4fd993,S2-b004-g-09b1133f6e4fd993,S2,T1,10,10,8,10,10,1,17.0,1.0,False,False,4,4,1.0,1024,4,0.00390625,1,16.0,False,0.0002976860851049423,0.0043159713968634605,0.004200341179966927,4
task-11bd43193b3d,g-09b1133f6e4fd993,S2-b004-g-09b1133f6e4fd993,S2,T2,10,10,8,10,10,1,17.0,0.85,True,True,4,4,1.0,1024,4,0.00390625,1,16.0,False,0.0002976860851049423,0.004246095195412636,0.004200341179966927,4
task-20b889f4a9a5,g-09b1133f6e4fd993,S2-b004-g-09b1133f6e4fd993,S2,T3,10,10,8,10,10,1,17.0,0.7,True,True,4,4,1.0,1024,4,0.00390625,1,16.0,False,0.0002976860851049423,0.004236478358507156,0.004200341179966927,4
task-cddedc018822,g-09b1133f6e4fd993,S2-b004-g-09b1133f6e4fd993,S2,T4,10,10,8,10,10,1,11.0,0.55,False,False,4,2,0.5,1024,2,0.001953125,1,16.0,False,0.0002976860851049423,0.0042331283912062645,0.004200341179966927,4
task-67219ee99f49,g-09b1133f6e4fd993,S2-b004-g-09b1133f6e4fd993,S2,T5,10,10,8,10,10,1,11.0,0.4,True,True,4,2,0.5,1024,2,0.001953125,1,16.0,False,0.0002976860851049423,0.004231519065797329,0.004200341179966927,4
task-794af57359d6,g-09b1133f6e4fd993,S2-b004-g-09b1133f6e4fd993,S2,T6,10,10,8,10,10,1,9.0,0.2,False,False,4,1,0.25,1024,1,0.0009765625,1,16.0,False,0.0002976860851049423,0.004230373539030552,0.004200341179966927,4
task-6bac1dc34486,g-09b1133f6e4fd993,S2-b004-g-09b1133f6e4fd993,S2,T7,10,10,8,10,10,1,9.0,0.0,True,True,4,1,0.25,1024,1,0.0009765625,1,16.0,False,0.0002976860851049423,0.004234488122165203,0.004200341179966927,4
task-b4787dfa5301,g-3201b1f700a594cf,S3-b000-g-3201b1f700a594cf,S3,T1,13,13,8,13,13,1,18.0,1.0,False,False,7,7,1.0,8192,7,0.0008544921875,2,8.0,False,0.0006449641659855843,0.03789364639669657,0.03778512869030237,7
task-49f671a90c02,g-3201b1f700a594cf,S3-b000-g-3201b1f700a594cf,S3,T2,13,13,8,13,13,1,14.0,0.85,False,False,7,6,0.8571428571428571,8192,6,0.000732421875,2,8.0,False,0.0006449641659855843,0.037826442159712315,0.03778512869030237,7
task-c3589615ff13,g-3201b1f700a594cf,S3-b000-g-3201b1f700a594cf,S3,T3,13,13,8,13,13,1,13.0,0.7,False,False,7,5,0.7142857142857143,8192,5,0.0006103515625,1,8.0,False,0.0006449641659855843,0.03782046027481556,0.03778512869030237,7
task-ba628c9391ae,g-3201b1f700a594cf,S3-b000-g-3201b1f700a594cf,S3,T4,13,13,8,13,13,1,12.0,0.55,False,False,7,4,0.5714285714285714,8192,4,0.00048828125,1,8.0,False,0.0006449641659855843,0.037817046977579594,0.03778512869030237,7
task-076a65d1635c,g-3201b1f700a594cf,S3-b000-g-3201b1f700a594cf,S3,T5,13,13,8,13,13,1,10.0,0.4,False,False,7,3,0.42857142857142855,8192,3,0.0003662109375,2,16.0,False,0.0006449641659855843,0.03781680390238762,0.03778512869030237,7
task-e5a701efbf9d,g-3201b1f700a594cf,S3-b000-g-3201b1f700a594cf,S3,T6,13,13,8,13,13,1,10.0,0.2,True,True,7,3,0.42857142857142855,8192,3,0.0003662109375,2,16.0,False,0.0006449641659855843,0.037815763615071774,0.03778512869030237,7
task-b7b9286ab261,g-3201b1f700a594cf,S3-b000-g-3201b1f700a594cf,S3,T7,13,13,8,13,13,1,9.0,0.0,False,False,7,1,0.14285714285714285,8192,1,0.0001220703125,1,18.0,False,0.0006449641659855843,0.03781574126332998,0.03778512869030237,7
task-5f34474fe250,g-6312121f837a016a,S3-b001-g-6312121f837a016a,S3,T1,13,13,8,13,13,1,17.0,1.0,False,False,7,7,1.0,8192,7,0.0008544921875,1,3.0,False,0.00047807861119508743,0.036380503326654434,0.036275134421885014,7
task-ee90ab1de708,g-6312121f837a016a,S3-b001-g-6312121f837a016a,S3,T2,13,13,8,13,13,1,16.0,0.85,False,False,7,6,0.8571428571428571,8192,6,0.000732421875,1,3.0,False,0.00047807861119508743,0.036316901445388794,0.036275134421885014,7
task-4ec53f46431c,g-6312121f837a016a,S3-b001-g-6312121f837a016a,S3,T3,13,13,8,13,13,1,13.0,0.7,False,False,7,5,0.7142857142857143,8192,5,0.0006103515625,1,3.0,False,0.00047807861119508743,0.036310856230556965,0.036275134421885014,7
task-be312d5000ed,g-6312121f837a016a,S3-b001-g-6312121f837a016a,S3,T4,13,13,8,13,13,1,11.0,0.55,False,False,7,4,0.5714285714285714,8192,4,0.00048828125,1,8.0,False,0.00047807861119508743,0.03630796633660793,0.036275134421885014,7
task-bb6ddf8dbd0d,g-6312121f837a016a,S3-b001-g-6312121f837a016a,S3,T5,13,13,8,13,13,1,10.0,0.4,False,False,7,3,0.42857142857142855,8192,3,0.0003662109375,1,10.0,False,0.00047807861119508743,0.03630638401955366,0.036275134421885014,7
task-4257f4fc9d97,g-6312121f837a016a,S3-b001-g-6312121f837a016a,S3,T6,13,13,8,13,13,1,9.0,0.2,False,False,7,2,0.2857142857142857,8192,2,0.000244140625,1,10.0,False,0.00047807861119508743,0.03630524314939976,0.036275134421885014,7
task-7cbbcfbc41d0,g-6312121f837a016a,S3-b001-g-6312121f837a016a,S3,T7,13,13,8,13,13,1,7.0,0.0,False,False,7,1,0.14285714285714285,8192,1,0.0001220703125,1,10.0,False,0.00047807861119508743,0.03630553651601076,0.036275134421885014,7
task-6fea0366a895,g-ccccfea2344eea34,S3-b002-g-ccccfea2344eea34,S3,T1,13,13,8,13,13,1,15.0,1.0,False,False,7,7,1.0,8192,7,0.0008544921875,1,12.0,False,0.000737248919904232,0.036967044696211815,0.03682967275381088,7
task-3ef036e3311a,g-ccccfea2344eea34,S3-b002-g-ccccfea2344eea34,S3,T2,13,13,8,13,13,1,12.0,0.85,False,False,7,6,0.8571428571428571,8192,6,0.000732421875,1,12.0,False,0.000737248919904232,0.03687140252441168,0.03682967275381088,7
task-616c8c9fef47,g-ccccfea2344eea34,S3-b002-g-ccccfea2344eea34,S3,T3,13,13,8,13,13,1,11.0,0.7,False,False,7,5,0.7142857142857143,8192,5,0.0006103515625,1,12.0,False,0.000737248919904232,0.03686546441167593,0.03682967275381088,7
task-e60c3874ee42,g-ccccfea2344eea34,S3-b002-g-ccccfea2344eea34,S3,T4,13,13,8,13,13,1,10.0,0.55,False,False,7,4,0.5714285714285714,8192,4,0.00048828125,1,12.0,False,0.000737248919904232,0.036863052286207676,0.03682967275381088,7
task-2bab834e7cbb,g-ccccfea2344eea34,S3-b002-g-ccccfea2344eea34,S3,T5,13,13,8,13,13,1,10.0,0.4,True,True,7,4,0.5714285714285714,8192,4,0.00048828125,1,12.0,False,0.000737248919904232,0.03686811216175556,0.03682967275381088,7
task-93a11dfb8047,g-ccccfea2344eea34,S3-b002-g-ccccfea2344eea34,S3,T6,13,13,8,13,13,1,8.0,0.2,False,False,7,2,0.2857142857142857,8192,2,0.000244140625,1,14.0,False,0.000737248919904232,0.036861334927380085,0.03682967275381088,7
task-2d13bcd2af3d,g-ccccfea2344eea34,S3-b002-g-ccccfea2344eea34,S3,T7,13,13,8,13,13,1,3.0,0.0,False,False,7,1,0.14285714285714285,8192,1,0.0001220703125,1,19.0,False,0.000737248919904232,0.03686033934354782,0.03682967275381088,7
task-d70a6a067908,g-14c0fab60fb67c6a,S3-b003-g-14c0fab60fb67c6a,S3,T1,13,13,8,13,13,1,17.0,1.0,False,False,7,7,1.0,8192,7,0.0008544921875,1,7.0,False,0.00033953413367271423,0.03682534582912922,0.03671541251242161,7
task-823016d66e8b,g-14c0fab60fb67c6a,S3-b003-g-14c0fab60fb67c6a,S3,T2,13,13,8,13,13,1,13.0,0.85,False,False,7,6,0.8571428571428571,8192,6,0.000732421875,1,7.0,False,0.00033953413367271423,0.03675645776093006,0.03671541251242161,7
task-0048ea61bd04,g-14c0fab60fb67c6a,S3-b003-g-14c0fab60fb67c6a,S3,T3,13,13,8,13,13,1,12.0,0.7,False,False,7,5,0.7142857142857143,8192,5,0.0006103515625,1,7.0,False,0.00033953413367271423,0.03675179835408926,0.03671541251242161,7
task-5fdd8e2eb8a7,g-14c0fab60fb67c6a,S3-b003-g-14c0fab60fb67c6a,S3,T4,13,13,8,13,13,1,12.0,0.55,True,True,7,5,0.7142857142857143,8192,5,0.0006103515625,1,7.0,False,0.00033953413367271423,0.03674912732094526,0.03671541251242161,7
task-6910bd8bafb7,g-14c0fab60fb67c6a,S3-b003-g-14c0fab60fb67c6a,S3,T5,13,13,8,13,13,1,9.0,0.4,False,False,7,3,0.42857142857142855,8192,3,0.0003662109375,1,7.0,False,0.00033953413367271423,0.03674756456166506,0.03671541251242161,7
task-594739ec5f88,g-14c0fab60fb67c6a,S3-b003-g-14c0fab60fb67c6a,S3,T6,13,13,8,13,13,1,8.0,0.2,False,False,7,2,0.2857142857142857,8192,2,0.000244140625,1,7.0,False,0.00033953413367271423,0.036749242804944515,0.03671541251242161,7
task-69c26eb6f9c2,g-14c0fab60fb67c6a,S3-b003-g-14c0fab60fb67c6a,S3,T7,13,13,8,13,13,1,3.0,0.0,False,False,7,1,0.14285714285714285,8192,1,0.0001220703125,1,7.0,False,0.00033953413367271423,0.036745249293744564,0.03671541251242161,7
task-ac5da24a7304,g-d0c2be481b1e7235,S3-b004-g-d0c2be481b1e7235,S3,T1,13,13,8,13,13,1,17.0,1.0,False,False,7,7,1.0,8192,7,0.0008544921875,1,15.0,False,0.00034759100526571274,0.03653507027775049,0.03641222324222326,7
task-9658e4b46449,g-d0c2be481b1e7235,S3-b004-g-d0c2be481b1e7235,S3,T2,13,13,8,13,13,1,17.0,0.85,True,True,7,7,1.0,8192,7,0.0008544921875,1,15.0,False,0.00034759100526571274,0.03645368851721287,0.03641222324222326,7
