statement_id,section,manuscript_value,canonical_value,source,difference,status,notes
NV065,Optimizer and Objective Attribution,-0.2572,-0.25720766008753626,results/phase1_pilot_v1/pilot_summary.json :: depth_effect.Delta_G_3_2,7.66008753628e-06,SUPPORTED_ROUNDED,
NV066,Optimizer and Objective Attribution,29,29,results/phase1_1_optimization_diagnostic/summary.json :: original_p3_optimizer_adequacy.worse_than_embedded_count,0,SUPPORTED_EXACT,
NV067,Optimizer and Objective Attribution,168,168,results/phase1_1_optimization_diagnostic/summary.json :: original_p3_optimizer_adequacy.denominator,0,SUPPORTED_EXACT,
NV068,Optimizer and Objective Attribution,17.3,17.261904761904763,"results/phase1_1_optimization_diagnostic/summary.json :: original_p3_optimizer_adequacy.fraction, percent",0.0380952380952,SUPPORTED_ROUNDED,
NV069,Optimizer and Objective Attribution,168,168,results/phase1_1_optimization_diagnostic/summary.json :: validation.nested_identity_rows,0,SUPPORTED_EXACT,
NV070,Optimizer and Objective Attribution,29,29,results/phase1_1_optimization_diagnostic/summary.json :: original_p3_optimizer_adequacy.failed_original_runs_recovered_to_lower_objective_by_continuation,0,SUPPORTED_EXACT,
NV071,Optimizer and Objective Attribution,27,27,results/phase1_1_optimization_diagnostic/summary.json :: original_p3_optimizer_adequacy.failed_original_runs_with_higher_G_under_continuation,0,SUPPORTED_EXACT,
NV072,Optimizer and Objective Attribution,0.153,0.1529726623653761,results/phase1_1_optimization_diagnostic/summary.json :: continuation.median_delta_G_from_embedded_start,2.73376346239e-05,SUPPORTED_ROUNDED,
NV073,Optimizer and Objective Attribution,-0.54,-0.5399946195590987,results/phase1_1_optimization_diagnostic/summary.json :: compensation.original_p3.kappa_median,5.38044090137e-06,SUPPORTED_ROUNDED,
NV074,Optimizer and Objective Attribution,0.3672,0.36723227678329967,results/phase1_1_optimization_diagnostic/summary.json :: compensation.continuation_p3.kappa_median,3.22767832996e-05,SUPPORTED_ROUNDED,
NV075,Optimizer and Objective Attribution,0.178,0.17801781990157095,results/phase1_1_optimization_diagnostic/summary.json :: depth_effects.P3_CONTINUATION_B1.median_Delta_G_3_2,1.7819901571e-05,SUPPORTED_ROUNDED,
NV076,Optimizer and Objective Attribution,17,17,results/phase1_1_optimization_diagnostic/summary.json :: continuation.classification_counts.OBJECTIVE_IMPROVES_FEASIBILITY_WORSENS,0,SUPPORTED_EXACT,
NV077,Optimizer and Objective Attribution,108,108,results/phase1_1_optimization_diagnostic/summary.json :: continuation.random_lower_objective_than_continuation_count,0,SUPPORTED_EXACT,
NV078,Optimizer and Objective Attribution,82,82,results/phase1_1_optimization_diagnostic/summary.json :: continuation.random_lower_objective_but_lower_G_count,0,SUPPORTED_EXACT,
NV079,Optimizer and Objective Attribution,-0.0973,-0.09727511385975496,results/phase1_1_optimization_diagnostic/summary.json :: paired_decomposition_median_random_minus_continuation.objective,2.4886140245e-05,SUPPORTED_ROUNDED,
NV080,Optimizer and Objective Attribution,-0.0223,-0.0223091076190783,results/phase1_1_optimization_diagnostic/summary.json :: paired_decomposition_median_random_minus_continuation.expected_routing_component,9.1076190783e-06,SUPPORTED_ROUNDED,
NV081,Optimizer and Objective Attribution,0.0027,0.0026758541560822913,results/phase1_1_optimization_diagnostic/summary.json :: paired_decomposition_median_random_minus_continuation.expected_flow_penalty,2.41458439177e-05,SUPPORTED_ROUNDED,
NV082,Optimizer and Objective Attribution,-0.0573,-0.057297407951792584,results/phase1_1_optimization_diagnostic/summary.json :: paired_decomposition_median_random_minus_continuation.expected_resource_penalty,2.59204820741e-06,SUPPORTED_ROUNDED,
NV083,Optimizer and Objective Attribution,0.00498,0.00497691440146655,"results/phase1_1_optimization_diagnostic/summary.json :: paired_decomposition_median_random_minus_continuation.mass_valid_flow_resource_feasible, magnitude",3.08559853345e-06,SUPPORTED_ROUNDED,
NV084,Optimizer and Objective Attribution,0.00847,0.00846850458710191,results/phase1_1_optimization_diagnostic/summary.json :: paired_decomposition_median_random_minus_continuation.mass_flow_invalid,1.49541289809e-06,SUPPORTED_ROUNDED,
NV085,Optimizer and Objective Attribution,0.05425,0.05425340046587388,"results/phase1_1_optimization_diagnostic/summary.json :: paired_decomposition_median_random_minus_continuation.mass_resource_violating, magnitude",3.40046587388e-06,SUPPORTED_ROUNDED,
NV086,Objective-Alignment Study,240,240,results/phase1_2_objective_alignment/summary.json :: matched_eval_budget,0,SUPPORTED_EXACT,
NV087,Objective-Alignment Study,56,56,results/phase1_2_objective_alignment/summary.json :: task_count,0,SUPPORTED_EXACT,
NV088,Objective-Alignment Study,0.02168,0.0216781246412454,results/phase1_2_objective_alignment/summary.json :: objectives.O0.median_p_feas,1.8753587546e-06,SUPPORTED_ROUNDED,
NV089,Objective-Alignment Study,2.1161,2.1161044490705643,results/phase1_2_objective_alignment/summary.json :: objectives.O0.median_G_feas,4.44907056441e-06,SUPPORTED_ROUNDED,
NV090,Objective-Alignment Study,140,140,results/phase1_2_objective_alignment/summary.json :: theoretical_audit.basis_penalty_contract_pass_count,0,SUPPORTED_EXACT,
NV091,Objective-Alignment Study,224,224,results/phase1_2_objective_alignment/summary.json :: theoretical_audit.optimization_state_penalty_bound_pass_count,0,SUPPORTED_EXACT,
NV092,Objective-Alignment Study,56,56,results/phase1_2_objective_alignment/summary.json :: penalty_surrogate_diagnostic.O1_own_objective_improved_count,0,SUPPORTED_EXACT,
NV093,Objective-Alignment Study,51,51,results/phase1_2_objective_alignment/summary.json :: penalty_surrogate_diagnostic.O1_lower_penalty_but_lower_P_feas_than_O2_count,0,SUPPORTED_EXACT,
NV094,Objective-Alignment Study,2.8,2.8,"results/phase1_2_objective_alignment/summary.json :: median O1 capacity-gap closure, percent",0,SUPPORTED_EXACT,
NV095,Objective-Alignment Study,2,2,results/phase1_2_objective_alignment/summary.json :: mechanistic_tags.PENALTY_SURROGATE_SUCCESS,0,SUPPORTED_EXACT,
NV096,Objective-Alignment Study,53,53,results/phase1_2_objective_alignment/summary.json :: paired_comparisons_vs_O0.O2.P_feas_improved,0,SUPPORTED_EXACT,
NV097,Objective-Alignment Study,0.2192983546,0.21929835458021296,results/phase1_2_objective_alignment/summary.json :: capacity_gaps.median_O2_minus_O0_G,1.97870331231e-11,SUPPORTED_ROUNDED,
NV098,Objective-Alignment Study,0.01522,0.01521876658102175,results/phase1_2_objective_alignment/summary.json :: capacity_gaps.median_O2_minus_O0_P_feas,1.23341897825e-06,SUPPORTED_ROUNDED,
NV099,Objective-Alignment Study,0.662,0.6622663221843449,results/phase1_2_objective_alignment/summary.json :: capacity_gaps.capacity_gap_vs_dilution.capacity_gap_mean.spearman_D_vs_gap,0.000266322184345,SUPPORTED_ROUNDED,
NV100,Objective-Alignment Study,56,56,results/phase1_2_objective_alignment/summary.json :: theoretical_audit.cvar_tail_condition_pass_count,0,SUPPORTED_EXACT,
NV101,Objective-Alignment Study,14,14,results/phase1_2_objective_alignment/cvar_tail_diagnostics.csv :: fully feasible discovery tails,0,SUPPORTED_EXACT,
NV102,Objective-Alignment Study,50,50,results/phase1_2_objective_alignment/summary.json :: paired_comparisons_vs_O0.O3.P_feas_improved,0,SUPPORTED_EXACT,
NV103,Objective-Alignment Study,51,51,results/phase1_2_objective_alignment/summary.json :: paired_comparisons_vs_O0.O3.P_opt_improved,0,SUPPORTED_EXACT,
NV104,Objective-Alignment Study,0.0069,0.006897021383468704,results/phase1_2_objective_alignment/summary.json :: capacity_gaps.median_O2_minus_O3_G,2.9786165313e-06,SUPPORTED_ROUNDED,
NV105,Objective-Alignment Study,0.2193,0.21929835458021296,results/phase1_2_objective_alignment/summary.json :: capacity_gaps.median_O2_minus_O0_G,1.64541978703e-06,SUPPORTED_ROUNDED,
NV106,Objective-Alignment Study,97.9,97.9,"results/phase1_2_objective_alignment/summary.json :: median stable gap closure, percent",0,SUPPORTED_EXACT,
NV107,Objective-Alignment Study,27,27,results/phase1_2_objective_alignment/summary.json :: paired_comparisons_vs_O0.O3.P_opt_given_feasible_improved,0,SUPPORTED_EXACT,
NV108,Objective-Alignment Study,10,10,results/phase1_2_objective_alignment/summary.json :: paired_comparisons_vs_O0.O3.P_opt_given_feasible_unchanged,0,SUPPORTED_EXACT,
NV109,Objective-Alignment Study,19,19,results/phase1_2_objective_alignment/summary.json :: paired_comparisons_vs_O0.O3.P_opt_given_feasible_worsened,0,SUPPORTED_EXACT,
NV110,Objective-Alignment Study,0.1,0.1,configs/phase1_2_objective_alignment.yaml :: frozen CVaR alpha,0,SUPPORTED_EXACT,
NV111,Preregistered Held-Out Confirmation,84,84,results/phase2_confirmatory_v1/summary.json :: heldout_task_count,0,SUPPORTED_EXACT,
NV112,Preregistered Held-Out Confirmation,15,15,results/phase2_confirmatory_v1/summary.json :: heldout_base_graph_count,0,SUPPORTED_EXACT,
NV113,Preregistered Held-Out Confirmation,0,0,results/phase2_confirmatory_v1/summary.json :: phase2_task_overlap_with_discovery,0,SUPPORTED_EXACT,
NV114,Preregistered Held-Out Confirmation,0,0,results/phase2_confirmatory_v1/summary.json :: phase2_base_graph_overlap_with_discovery,0,SUPPORTED_EXACT,
NV115,Preregistered Held-Out Confirmation,-0.1,-0.1,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H2.null_margin,0,SUPPORTED_EXACT,
NV116,Preregistered Held-Out Confirmation,10000,10000,protocols/PHASE2_PREREGISTRATION.md :: grouped bootstrap resamples,0,SUPPORTED_EXACT,
NV117,Preregistered Held-Out Confirmation,32768,32768,results/phase2_confirmatory_v1/confirmatory_statistics.json :: all graph sign configurations,0,SUPPORTED_EXACT,
NV118,Preregistered Held-Out Confirmation,0.05,0.05,protocols/PHASE2_PREREGISTRATION.md :: family alpha,0,SUPPORTED_EXACT,
NV119,Preregistered Held-Out Confirmation,0.3547149490180106,0.3547149490180106,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H1.effect_mean,0,SUPPORTED_EXACT,
NV120,Preregistered Held-Out Confirmation,0.0747258211,0.07472582111285479,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H1.bootstrap_standard_error,1.28547866796e-11,SUPPORTED_ROUNDED,
NV121,Preregistered Held-Out Confirmation,0.2373785365,0.23737853648218638,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H1.one_sided_95_lower_bound,1.78136116968e-11,SUPPORTED_ROUNDED,
NV122,Preregistered Held-Out Confirmation,0.0001220703,0.0001220703125,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H1.raw_p_value,1.25000000043e-11,SUPPORTED_ROUNDED,
NV123,Preregistered Held-Out Confirmation,0.000244140625,0.000244140625,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H1.holm_adjusted_p_value,0,SUPPORTED_EXACT,
NV124,Preregistered Held-Out Confirmation,-0.008595149938274194,-0.008595149938274194,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H2.effect_mean,0,SUPPORTED_EXACT,
NV125,Preregistered Held-Out Confirmation,0.0166760478,0.016676047763212343,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H2.bootstrap_standard_error,3.67876562546e-11,SUPPORTED_ROUNDED,
NV126,Preregistered Held-Out Confirmation,-0.0360487499,-0.03604874990402986,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H2.one_sided_95_lower_bound,4.02985977921e-12,SUPPORTED_ROUNDED,
NV127,Preregistered Held-Out Confirmation,0.0001525879,0.000152587890625,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H2.raw_p_value,9.37499998964e-12,SUPPORTED_ROUNDED,
NV128,Preregistered Held-Out Confirmation,0.000244140625,0.000244140625,results/phase2_confirmatory_v1/confirmatory_statistics.json :: H2.holm_adjusted_p_value,0,SUPPORTED_EXACT,
NV129,Preregistered Held-Out Confirmation,80,80,results/phase2_confirmatory_v1/summary.json :: routing_quality.O3_vs_O0_P_opt_wins,0,SUPPORTED_EXACT,
NV130,Preregistered Held-Out Confirmation,4,4,results/phase2_confirmatory_v1/summary.json :: routing_quality.O3_vs_O0_P_opt_losses,0,SUPPORTED_EXACT,
NV131,Preregistered Held-Out Confirmation,0.00639968,0.006399681964961,results/phase2_confirmatory_v1/summary.json :: routing_quality.paired_median_P_opt_difference,1.96496100033e-09,SUPPORTED_ROUNDED,
NV132,Preregistered Held-Out Confirmation,79,79,results/phase2_confirmatory_v1/summary.json :: routing_quality.O3_vs_O0_both_Pfeas_Popt_greater,0,SUPPORTED_EXACT,
NV133,Preregistered Held-Out Confirmation,0.3605,0.3604917256495328,results/phase2_confirmatory_v1/summary.json :: routing_quality.median_P_opt_given_feasible_O0,8.27435046719e-06,SUPPORTED_ROUNDED,
NV134,Preregistered Held-Out Confirmation,0.4077,0.4076951407249063,results/phase2_confirmatory_v1/summary.json :: routing_quality.median_P_opt_given_feasible_O3,4.85927509369e-06,SUPPORTED_ROUNDED,
NV135,Preregistered Held-Out Confirmation,14.9322,14.932175050849835,results/phase2_confirmatory_v1/summary.json :: routing_quality.median_conditional_route_cost_O0,2.49491501645e-05,SUPPORTED_ROUNDED,
NV136,Preregistered Held-Out Confirmation,14.8318,14.831849377335953,results/phase2_confirmatory_v1/summary.json :: routing_quality.median_conditional_route_cost_O3,4.93773359533e-05,SUPPORTED_ROUNDED,
NV137,Preregistered Held-Out Confirmation,32,32,results/phase2_confirmatory_v1/summary.json :: routing_quality.O3_feasibility_up_conditional_quality_down,0,SUPPORTED_EXACT,
NV138,Preregistered Held-Out Confirmation,84,84,results/phase2_confirmatory_v1/summary.json :: cvar_tail_mechanism.tail_condition_pass_count,0,SUPPORTED_EXACT,
NV139,Preregistered Held-Out Confirmation,20,20,results/phase2_confirmatory_v1/summary.json :: cvar_tail_mechanism.fully_feasible_tail_count,0,SUPPORTED_EXACT,
NV140,Preregistered Held-Out Confirmation,64,64,results/phase2_confirmatory_v1/summary.json :: heldout_task_count - fully_feasible_tail_count,0,SUPPORTED_EXACT,
NV141,Preregistered Held-Out Confirmation,0.0561,0.05611574161494737,results/phase2_confirmatory_v1/summary.json :: cvar_tail_mechanism.median_O3_minus_O0_G_fully_feasible_tail,1.57416149474e-05,SUPPORTED_ROUNDED,
NV142,Preregistered Held-Out Confirmation,0.3865,0.38649112437198974,results/phase2_confirmatory_v1/summary.json :: cvar_tail_mechanism.median_O3_minus_O0_G_partial_tail,8.87562801027e-06,SUPPORTED_ROUNDED,
NV143,Scaling Response and Resource Ceiling,180,180,results/phase3_scaling_v1/summary.json :: task_universe.tasks,0,SUPPORTED_EXACT,SCALING_RESPONSE_RESOURCE_CENSORED
NV144,Scaling Response and Resource Ceiling,16,16,results/phase3_scaling_v1/summary.json :: exponent_summaries.development.O0.n,0,SUPPORTED_EXACT,SCALING_RESPONSE_RESOURCE_CENSORED
NV145,Scaling Response and Resource Ceiling,1.0005,1.0004674603627521,results/phase3_scaling_v1/summary.json :: exponent_summaries.development.O0.mean,3.25396372478e-05,SUPPORTED_ROUNDED,SCALING_RESPONSE_RESOURCE_CENSORED
NV146,Scaling Response and Resource Ceiling,0.6467,0.6467314084680748,results/phase3_scaling_v1/summary.json :: exponent_summaries.development.O2.mean,3.14084680747e-05,SUPPORTED_ROUNDED,SCALING_RESPONSE_RESOURCE_CENSORED
NV147,Scaling Response and Resource Ceiling,0.6309,0.6308945383469862,results/phase3_scaling_v1/summary.json :: exponent_summaries.development.O3.mean,5.46165301385e-06,SUPPORTED_ROUNDED,SCALING_RESPONSE_RESOURCE_CENSORED
NV148,Scaling Response and Resource Ceiling,-0.6152,-0.6151869873331419,results/phase3_scaling_v1/summary.json :: exponent_summaries.development.O0.min,1.3012666858e-05,SUPPORTED_ROUNDED,SCALING_RESPONSE_RESOURCE_CENSORED
NV149,Scaling Response and Resource Ceiling,3.3117,3.3116768964570262,results/phase3_scaling_v1/summary.json :: exponent_summaries.development.O0.max,2.31035429739e-05,SUPPORTED_ROUNDED,SCALING_RESPONSE_RESOURCE_CENSORED
NV150,Scaling Response and Resource Ceiling,4,4,results/phase3_scaling_v1/summary.json :: exponent_summaries.interpolation_holdout.O0.n,0,SUPPORTED_EXACT,SCALING_RESPONSE_RESOURCE_CENSORED
NV151,Scaling Response and Resource Ceiling,0.9998,0.999785652179316,results/phase3_scaling_v1/summary.json :: exponent_summaries.interpolation_holdout.O0.mean,1.4347820684e-05,SUPPORTED_ROUNDED,SCALING_RESPONSE_RESOURCE_CENSORED
NV152,Scaling Response and Resource Ceiling,0.4127,0.4126680671275156,results/phase3_scaling_v1/summary.json :: exponent_summaries.interpolation_holdout.O2.mean,3.19328724844e-05,SUPPORTED_ROUNDED,SCALING_RESPONSE_RESOURCE_CENSORED
NV153,Scaling Response and Resource Ceiling,0.3489,0.3489089046521026,results/phase3_scaling_v1/summary.json :: exponent_summaries.interpolation_holdout.O3.mean,8.90465210263e-06,SUPPORTED_ROUNDED,SCALING_RESPONSE_RESOURCE_CENSORED
NV154,Scaling Response and Resource Ceiling,5,5,results/phase3_scaling_v1/summary.json :: exponent_summaries.extrapolation_holdout.O0.n,0,SUPPORTED_EXACT,SCALING_RESPONSE_RESOURCE_CENSORED
NV155,Scaling Response and Resource Ceiling,0.615,0.6149865941678273,results/phase3_scaling_v1/summary.json :: exponent_summaries.extrapolation_holdout.O0.mean,1.34058321727e-05,SUPPORTED_ROUNDED,SCALING_RESPONSE_RESOURCE_CENSORED
NV156,Scaling Response and Resource Ceiling,0.7885,0.7884817736749649,results/phase3_scaling_v1/summary.json :: exponent_summaries.extrapolation_holdout.O2.mean,1.82263250351e-05,SUPPORTED_ROUNDED,SCALING_RESPONSE_RESOURCE_CENSORED
NV157,Scaling Response and Resource Ceiling,1.2821,1.2821385529164686,results/phase3_scaling_v1/summary.json :: exponent_summaries.extrapolation_holdout.O3.mean,3.85529164686e-05,SUPPORTED_ROUNDED,SCALING_RESPONSE_RESOURCE_CENSORED
